N=2,N=5,N=8,N=10
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.16E-02,1.05E-01
-2.48E-01,2.16E-01,9.17E-02,1.05E-01
-2.48E-01,2.16E-01,9.17E-02,1.05E-01
-2.48E-01,2.16E-01,9.17E-02,1.05E-01
-2.48E-01,2.16E-01,9.17E-02,1.05E-01
-2.48E-01,2.16E-01,9.17E-02,1.05E-01
-2.48E-01,2.16E-01,9.17E-02,1.05E-01
-2.48E-01,2.15E-01,9.17E-02,1.05E-01
-2.48E-01,2.15E-01,9.17E-02,1.05E-01
-2.48E-01,2.15E-01,9.17E-02,1.05E-01
-2.48E-01,2.15E-01,9.18E-02,1.05E-01
-2.48E-01,2.15E-01,9.18E-02,1.05E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.18E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.19E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.20E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
